Driver,Race,LapNumber,umap_x,umap_y
ALO,2023_Suzuka,48.0,-4.5154757,12.735903
ALO,2023_Suzuka,49.0,-4.8540387,13.286157
ALO,2023_Suzuka,50.0,-5.2102375,12.803587
ALO,2023_Suzuka,51.0,-4.801595,13.109503
ALO,2023_Suzuka,52.0,-4.7905226,11.377561
ALO,2023_Suzuka,53.0,-4.9057946,11.711931
ALO,2024_Bahrain,2.0,-3.713453,12.068606
ALO,2024_Bahrain,3.0,-4.914471,12.259297
ALO,2024_Bahrain,4.0,-4.0749264,12.227018
ALO,2024_Bahrain,5.0,-4.144874,12.438606
ALO,2024_Bahrain,6.0,-4.419412,13.369535
ALO,2024_Bahrain,7.0,-4.145398,12.313782
ALO,2024_Bahrain,8.0,-4.980525,13.100081
ALO,2024_Bahrain,9.0,-3.9756093,11.9534645
ALO,2024_Bahrain,10.0,-4.170805,13.318475
ALO,2024_Bahrain,11.0,-3.7659357,13.181156
ALO,2024_Bahrain,12.0,-4.151508,13.282033
ALO,2024_Bahrain,13.0,-4.1580186,13.244365
ALO,2024_Bahrain,14.0,-4.2026315,13.235441
ALO,2024_Bahrain,17.0,-3.4546077,12.815832
ALO,2024_Bahrain,18.0,-4.1015916,12.942175
ALO,2024_Bahrain,19.0,-4.0288534,12.648606
ALO,2024_Bahrain,20.0,-3.8746974,12.696999
ALO,2024_Bahrain,21.0,-3.9338362,12.582253
ALO,2024_Bahrain,22.0,-4.155866,12.12157
ALO,2024_Bahrain,23.0,-4.1232557,12.67674
ALO,2024_Bahrain,24.0,-4.0973544,12.625552
ALO,2024_Bahrain,25.0,-4.0655365,12.2184105
ALO,2024_Bahrain,26.0,-4.2973275,12.619262
ALO,2024_Bahrain,27.0,-4.566402,12.619531
ALO,2024_Bahrain,28.0,-5.280529,12.8510475
ALO,2024_Bahrain,29.0,-5.0060034,11.965209
ALO,2024_Bahrain,30.0,-5.201081,12.752894
ALO,2024_Bahrain,31.0,-5.15649,12.685446
ALO,2024_Bahrain,32.0,-4.851622,12.702631
ALO,2024_Bahrain,33.0,-4.6613445,12.726658
ALO,2024_Bahrain,34.0,-4.739625,13.367855
ALO,2024_Bahrain,35.0,-4.6909637,13.374577
ALO,2024_Bahrain,36.0,-4.092967,13.157317
ALO,2024_Bahrain,37.0,-5.167306,13.06563
ALO,2024_Bahrain,38.0,-4.879254,13.250099
ALO,2024_Bahrain,39.0,-4.480522,13.304141
ALO,2024_Bahrain,40.0,-4.6441283,13.353255
ALO,2024_Bahrain,41.0,-4.9716763,13.2943125
ALO,2024_Bahrain,43.0,-4.9896655,12.439207
ALO,2024_Bahrain,44.0,-5.9699507,12.890528
ALO,2024_Bahrain,45.0,-5.946498,12.6716795
ALO,2024_Bahrain,46.0,-5.8335395,12.553386
ALO,2024_Bahrain,47.0,-5.270427,13.024467
ALO,2024_Bahrain,48.0,-4.3629055,13.313145
ALO,2024_Bahrain,49.0,-5.223152,13.020357
ALO,2024_Bahrain,50.0,-4.367678,13.340917
ALO,2024_Bahrain,51.0,-5.5565195,12.391159
ALO,2024_Bahrain,52.0,-5.603355,12.429663
ALO,2024_Bahrain,53.0,-5.7674,12.705617
ALO,2024_Bahrain,54.0,-5.728029,12.722591
ALO,2024_Bahrain,55.0,-5.4766517,12.481373
ALO,2024_Bahrain,56.0,-4.4030886,12.29803
ALO,2024_Bahrain,57.0,-5.917959,12.772085
ALO,2024_Monaco,6.0,-2.2464736,10.817103
ALO,2024_Monaco,7.0,-3.4840362,12.978899
ALO,2024_Monaco,8.0,-3.2207646,12.461067
ALO,2024_Monaco,9.0,-3.336822,12.546076
ALO,2024_Monaco,10.0,-3.2562666,12.31808
ALO,2024_Monaco,11.0,-3.2315938,12.6434965
ALO,2024_Monaco,12.0,-3.4971848,12.798589
ALO,2024_Monaco,13.0,-3.6452358,12.671623
ALO,2024_Monaco,14.0,-3.378298,11.6212015
ALO,2024_Monaco,15.0,-4.4277983,12.65026
ALO,2024_Monaco,16.0,-4.499449,12.597101
ALO,2024_Monaco,17.0,-4.147663,12.731618
ALO,2024_Monaco,18.0,-4.151644,12.70431
ALO,2024_Monaco,19.0,-4.8312078,11.447117
ALO,2024_Monaco,20.0,-3.5410423,12.696502
ALO,2024_Monaco,21.0,-4.2670827,12.72715
ALO,2024_Monaco,22.0,-4.575904,12.032552
ALO,2024_Monaco,23.0,-4.321814,11.511206
ALO,2024_Monaco,24.0,-3.587008,12.244668
ALO,2024_Monaco,25.0,-4.5212765,11.720528
ALO,2024_Monaco,26.0,-4.3022933,11.367981
ALO,2024_Monaco,27.0,-3.9263701,13.181366
ALO,2024_Monaco,28.0,-3.7861786,12.741363
ALO,2024_Monaco,29.0,-3.8728094,13.129175
ALO,2024_Monaco,30.0,-3.1874275,12.5971365
ALO,2024_Monaco,31.0,-3.5787756,12.720625
ALO,2024_Monaco,32.0,-3.3659506,12.548429
ALO,2024_Monaco,33.0,-3.6435442,12.655481
ALO,2024_Monaco,34.0,-3.2454112,12.32672
ALO,2024_Monaco,35.0,-3.540362,12.76376
ALO,2024_Monaco,36.0,-3.4798872,12.700278
ALO,2024_Monaco,37.0,-3.390674,12.841152
ALO,2024_Monaco,38.0,-3.2595649,12.652933
ALO,2024_Monaco,39.0,-3.7322507,12.834218
ALO,2024_Monaco,40.0,-3.3962026,12.270054
ALO,2024_Monaco,42.0,-4.216746,13.269244
ALO,2024_Monaco,43.0,-4.8700614,11.268307
ALO,2024_Monaco,44.0,-4.066958,11.813107
ALO,2024_Monaco,45.0,-4.6425695,11.628246
ALO,2024_Monaco,46.0,-4.457108,12.714044
ALO,2024_Monaco,47.0,-3.4856212,12.257644
ALO,2024_Monaco,48.0,-3.6124022,12.221988
ALO,2024_Monaco,49.0,-2.9148262,9.982056
ALO,2024_Monaco,50.0,-4.8697205,11.825685
ALO,2024_Monaco,51.0,-4.6416826,12.829051
ALO,2024_Monaco,52.0,-3.603606,13.053873
ALO,2024_Monaco,53.0,-4.121177,13.254427
ALO,2024_Monaco,54.0,-3.5668046,12.726501
ALO,2024_Monaco,55.0,-4.0615044,12.65967
ALO,2024_Monaco,56.0,-3.3596442,11.663165
ALO,2024_Monaco,57.0,-3.5691102,12.268988
ALO,2024_Monaco,58.0,-3.5664399,11.492376
ALO,2024_Monaco,59.0,-4.2012925,12.839082
ALO,2024_Monaco,60.0,-3.9771,12.637691
ALO,2024_Monaco,61.0,-4.8843,11.346815
ALO,2024_Monaco,62.0,-4.811501,11.445976
ALO,2024_Monaco,63.0,-4.983813,11.784942
ALO,2024_Monaco,64.0,-4.115761,12.433506
ALO,2024_Monaco,65.0,-4.93,11.79016
ALO,2024_Monaco,66.0,-5.0556374,11.203318
ALO,2024_Monaco,67.0,-4.7710648,11.686625
ALO,2024_Monaco,68.0,-4.3728237,12.749485
ALO,2024_Monaco,69.0,-4.626991,11.792838
ALO,2024_Monaco,70.0,-4.2230053,12.262606
ALO,2024_Monaco,71.0,-3.6820185,12.672486
ALO,2024_Monaco,72.0,-4.564087,12.167783
ALO,2024_Monaco,73.0,-4.9641447,11.832761
ALO,2024_Monaco,74.0,-4.000246,11.862351
ALO,2024_Monaco,75.0,-4.5716224,12.794728
ALO,2024_Monaco,76.0,-3.5627706,12.163752
ALO,2024_Monza,2.0,-2.200226,10.702423
ALO,2024_Monza,3.0,-2.3735466,10.115328
ALO,2024_Monza,4.0,-2.181426,10.647477
ALO,2024_Monza,5.0,-2.180366,10.667858
ALO,2024_Monza,6.0,-2.230211,10.311503
ALO,2024_Monza,7.0,-2.205832,10.774789
ALO,2024_Monza,8.0,-2.3445497,10.933063
ALO,2024_Monza,9.0,-2.1350205,10.751773
ALO,2024_Monza,10.0,-2.179613,10.6978855
ALO,2024_Monza,11.0,-2.3620555,10.047235
ALO,2024_Monza,14.0,-2.214751,10.707303
ALO,2024_Monza,15.0,-2.8886116,11.239974
ALO,2024_Monza,16.0,-2.2194197,10.752324
