Driver,LapNumber,LapTime_s,Race,Season,brake_duration_ratio,throttle_smoothness,full_throttle_ratio,coasting_ratio,gear_change_freq,speed_at_throttle_lift,mean_corner_speed,speed_variance,throttle_brake_overlap
HAM,39.0,97.478,Bahrain,2023,0.24417009602194786,2.39010989010989,0.4513031550068587,0.038408779149519894,7.133058984910837,248.0,123.98716664678527,72.93851648716029,0.009602194787379973
HAM,40.0,97.494,Bahrain,2023,0.2388663967611336,2.3783783783783785,0.43724696356275305,0.03643724696356275,6.747638326585695,292.4500032,125.35422268953259,71.38814042267431,0.002699055330634278
HAM,42.0,97.061,Bahrain,2023,0.23374827109266944,2.3545706371191137,0.45228215767634855,0.040110650069156296,5.809128630705394,236.0,124.03332759555046,70.22060509981884,0.016597510373443983
HAM,43.0,97.111,Bahrain,2023,0.21331521739130435,2.3346938775510204,0.47282608695652173,0.04619565217391304,5.706521739130435,283.75,122.33339242572981,68.74397562220598,0.012228260869565218
HAM,44.0,97.048,Bahrain,2023,0.2106703146374829,2.345205479452055,0.4692202462380301,0.0533515731874145,6.019151846785226,241.0,123.5897154724754,69.75181707592112,0.009575923392612859
HAM,45.0,97.661,Bahrain,2023,0.23472222222222222,2.3421418636995828,0.4513888888888889,0.03333333333333333,6.25,,125.20849908071914,70.05045524780515,0.006944444444444444
HAM,46.0,97.779,Bahrain,2023,0.2288488210818308,2.4194444444444443,0.42302357836338417,0.036061026352288486,6.38002773925104,,122.58156008740303,74.16967614428195,0.006934812760055479
HAM,47.0,98.517,Bahrain,2023,0.25,2.4111888111888113,0.4483240223463687,0.046089385474860335,6.983240223463687,261.7648123259259,122.2779898300766,73.51418183777606,0.01675977653631285
HAM,48.0,97.844,Bahrain,2023,0.21798365122615804,2.3328785811732606,0.45095367847411444,0.043596730245231606,6.948228882833788,285.0,123.29954841054038,73.94060137671065,0.02316076294277929
HAM,49.0,97.954,Bahrain,2023,0.22546419098143236,2.2948207171314743,0.4389920424403183,0.05702917771883289,6.896551724137931,246.0194432,122.13341956449034,73.98898921056364,0.021220159151193633
HAM,50.0,97.77,Bahrain,2023,0.22330097087378642,2.375,0.4563106796116505,0.044382801664355064,6.51872399445215,255.5647302857143,124.23647395285832,73.26566223622329,0.011095700416088766
HAM,51.0,98.014,Bahrain,2023,0.22628726287262874,2.271370420624152,0.46747967479674796,0.032520325203252036,6.368563685636857,272.8978563657143,122.81585673754128,71.08193833684224,0.006775067750677507
HAM,52.0,97.803,Bahrain,2023,0.20383036935704515,2.3095890410958906,0.46511627906976744,0.047879616963064295,6.155950752393981,266.1222229333334,123.15416898761768,71.00104249884735,0.0
HAM,53.0,97.988,Bahrain,2023,0.21081081081081082,2.322056833558863,0.4445945945945946,0.05405405405405406,5.810810810810811,242.0,119.688849225297,71.48041110857822,0.006756756756756757
HAM,54.0,98.076,Bahrain,2023,0.21322537112010798,2.310810810810811,0.4574898785425101,0.04588394062078273,5.53306342780027,,120.55439913420375,71.1391535643424,0.012145748987854251
HAM,55.0,97.955,Bahrain,2023,0.2127659574468085,2.303595206391478,0.46675531914893614,0.04654255319148936,6.25,247.0,124.36306061817918,70.2094404261473,0.013297872340425532
HAM,56.0,98.111,Bahrain,2023,0.20345744680851063,2.263648468708389,0.4627659574468085,0.04654255319148936,6.382978723404255,255.22430737777776,123.62208841340474,70.6908551419928,0.011968085106382979
HAM,57.0,98.255,Bahrain,2023,0.21031746031746032,2.2513907284768213,0.46296296296296297,0.026455026455026454,6.481481481481481,252.0,125.29506555704289,70.75491538194798,0.003968253968253968
