dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
-0.29445532,0.16772115,0.16262998,0.22131118,0.011973609,-0.09030423,-0.290507,-0.19971932,-0.20973909,0.05682332,0.055290803,-0.13342622,0.050525315,0.02938724,0.07031917,-0.17885518,0.028869536,-0.33911496,0.122122765,0.39319402,-0.14651465,-0.014719132,0.23359944,-0.018062249,0.044790085,-0.066343546,0.2023784,-0.36829272,-0.040427845,0.07684933,0.052508824,0.11619531,ALO,2023_Bahrain,51.0
-0.29511827,0.16671492,0.13383305,0.22402197,0.0130175315,-0.097599216,-0.28725812,-0.22658415,-0.21368034,0.090680204,0.050297692,-0.12500508,0.059231248,0.06620389,0.085079394,-0.16703252,0.017730124,-0.34008914,0.10677755,0.40438583,-0.14932892,-0.0007206114,0.22744775,-0.009285379,0.017101413,-0.07264207,0.17880045,-0.35374305,-0.065523066,0.065555096,0.074499525,0.12867454,ALO,2023_Bahrain,52.0
-0.3116548,0.16756098,0.1466143,0.20828429,0.03799465,-0.070423715,-0.30596313,-0.21375066,-0.19913903,0.06465757,0.056787662,-0.13989455,0.042402487,0.01803801,0.031143408,-0.19869304,0.042427372,-0.3263628,0.13919084,0.39022627,-0.15361322,-0.00041280314,0.22529213,-0.006192461,0.061515175,-0.035138182,0.19408403,-0.37325364,-0.040991325,0.078543104,0.025131721,0.100817166,ALO,2023_Bahrain,53.0
-0.2825695,0.15580437,0.12857352,0.23249637,0.036600005,-0.09791964,-0.2983308,-0.19343923,-0.19463313,0.09392936,0.030642604,-0.13344395,0.036302544,0.07259267,0.09286742,-0.18352617,0.0010563842,-0.35901958,0.10715158,0.39615408,-0.15561582,-0.0041801804,0.24200268,-0.015229521,0.0032344789,-0.07153057,0.17594124,-0.35711306,-0.08475294,0.057541225,0.07467274,0.11650093,ALO,2023_Bahrain,54.0
-0.28650522,0.16784483,0.12014369,0.25122604,0.020782482,-0.09664152,-0.29625586,-0.21927677,-0.21730924,0.09423044,0.06293187,-0.13541359,0.06581787,0.041519407,0.034168568,-0.15191385,0.016778927,-0.33118227,0.12029431,0.3781257,-0.14522636,0.0070621953,0.26204532,-0.021778997,-0.0039524073,-0.049494676,0.19023512,-0.353623,-0.06408132,0.08231469,0.114247,0.11197047,ALO,2023_Bahrain,55.0
-0.3034375,0.16786623,0.13760231,0.23058333,0.018039173,-0.10877101,-0.3125274,-0.18313685,-0.19894195,0.09242647,0.047414698,-0.11537584,0.052241854,0.097123854,0.10325593,-0.18252438,-0.009181672,-0.367388,0.07217276,0.3652099,-0.14022198,-0.022172105,0.22658584,-0.008653903,0.0020042981,-0.0782998,0.17682831,-0.3591925,-0.074841544,0.07182113,0.065854244,0.13312231,ALO,2023_Bahrain,56.0
-0.2787925,0.15666917,0.14430372,0.2173113,0.042715333,-0.116625294,-0.30330762,-0.18085313,-0.200434,0.10763466,0.0501193,-0.11480632,0.064509645,0.10436644,0.1056973,-0.15424728,0.005098904,-0.3858557,0.06987944,0.36466834,-0.13342291,-0.020072285,0.22530596,-0.010549645,-0.007452701,-0.11264605,0.17634214,-0.35677308,-0.09311686,0.07581428,0.10152831,0.14273398,ALO,2023_Bahrain,57.0
-0.26626277,0.12285774,0.13655826,0.25207192,-0.09877814,-0.008379577,-0.30171257,-0.24559592,-0.13206486,0.024303526,0.03553763,-0.22578046,0.08226581,-0.05019723,0.040160947,-0.16260645,0.0455736,-0.28499296,0.1853512,0.38678262,-0.20500134,0.009230406,0.28208202,0.06370396,-0.004803812,-0.030653382,0.16173011,-0.35298213,-0.04321953,0.018717796,0.1097901,0.06366474,ALO,2023_Monaco,2.0
-0.27540752,0.13054919,0.14460607,0.28187925,-0.1398467,-0.01774145,-0.2297044,-0.28361967,-0.09285017,-0.044110235,0.014560383,-0.20040919,0.07010535,-0.05644261,0.06383345,-0.1923312,0.01822614,-0.28966776,0.13878146,0.41569495,-0.19753356,0.03867726,0.28593618,0.058921352,0.030302918,-0.04966556,0.119564965,-0.3410829,-0.057995327,-0.011170832,0.08999328,0.07682144,ALO,2023_Monaco,3.0
-0.29844052,0.1515946,0.1754415,0.29052,-0.0669785,-0.019760722,-0.29293847,-0.23156826,-0.08153938,0.012118333,0.022621028,-0.20549034,0.051110912,0.00022958439,0.06504888,-0.17322917,0.030090392,-0.3601751,0.06783965,0.36230975,-0.17804377,-0.014209646,0.26919982,0.060383398,-0.03028843,-0.085610166,0.14048265,-0.35198307,-0.07334634,-0.0036633192,0.07853306,0.06418128,ALO,2023_Monaco,4.0
