dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,Race,LapNumber
0.0,4.7963433,1.6470432,2.6870968,0.0,5.0056853,0.0,4.9806743,1.7514342,0.0,5.8086,0.3434449,0.0,1.4436612,0.63337433,0.0,7.70871,0.5388013,0.0,5.0665283,0.0,8.291796,0.0,9.008538,5.6515102,0.0,6.8252816,0.0,2.8602672,0.0,2.28416,0.0,ALO,2023_Bahrain,55.0
0.0,4.8213987,1.5330474,2.5934253,0.0,4.8048635,0.0,5.400898,1.540509,0.0,6.539262,0.2554894,0.0,1.2292879,0.74777263,0.0,8.371886,0.42462963,0.0,5.1640697,0.0,8.997506,0.0,9.695444,6.2418303,0.0,7.065271,0.0,3.0267718,0.0,2.7829876,0.0,ALO,2023_Bahrain,56.0
0.0,5.4269276,1.7603875,2.6623297,0.0,4.8544087,0.0,5.0585856,1.198111,0.0,6.2922864,0.13446349,0.0,0.99046195,0.42167458,0.0,8.637318,0.46008703,0.0,5.9488044,0.0,9.455615,0.0,10.250899,6.5501065,0.0,7.141693,0.0,2.5156586,0.0,2.9284666,0.0,ALO,2023_Bahrain,57.0
0.0,4.5215225,2.7628734,1.3481579,0.0,2.8809445,0.7376051,3.1620433,1.5167499,0.0,3.5026245,0.59662163,0.84111124,1.0289922,0.66739875,0.0,5.4440885,0.41538864,0.0,4.2915297,0.0,5.6724873,0.4329971,5.9219427,3.9037929,0.0,5.1472945,0.0,1.756804,0.0,1.438406,0.0,ALO,2023_Monaco,2.0
0.0,5.480784,3.1424942,0.79496837,0.0,3.207999,0.0,2.7933583,1.4624351,0.0,3.7303786,0.0,0.0,1.0546889,0.0,0.0,6.885484,0.0,0.0,5.178171,0.18793769,6.6167283,0.24193782,6.7296753,4.026375,0.0,6.4652205,0.0,1.2954884,0.0,0.7010078,0.0,ALO,2023_Monaco,3.0
0.0,4.3120065,2.4035265,1.2454268,0.0,2.576524,0.49924293,2.95526,1.0648743,0.0,3.517149,0.386417,0.3584242,0.67659,0.48145974,0.0,5.476532,0.2772834,0.0,4.2715235,0.0,5.7904844,0.22720003,6.0793095,4.052032,0.0,4.817858,0.0,1.4894046,0.0,1.653546,0.0,ALO,2023_Monaco,4.0
0.0,5.1907268,2.8559613,0.8745136,0.0,2.689551,0.23718064,2.681161,0.7564159,0.0,3.6630023,0.0,0.0,0.47363526,0.0017007068,0.0,6.477873,0.0,0.0,5.2420106,0.0,6.6356425,0.26354438,6.8391156,4.4676185,0.0,5.5656734,0.0,0.9999015,0.0,1.41059,0.0,ALO,2023_Monaco,5.0
0.0,4.595883,2.6969337,1.0010391,0.0,2.6552005,0.33998752,2.964101,1.2465662,0.0,3.667092,0.02923131,0.2024642,0.81542957,0.37819108,0.0,5.937192,0.0,0.0,4.415127,0.08280255,5.983234,0.18839851,6.135944,3.987627,0.0,5.374771,0.0,1.4929451,0.0,1.3551718,0.0,ALO,2023_Monaco,6.0
0.0,5.246434,2.925748,0.88186014,0.0,2.4669657,0.6626972,2.331013,0.586342,0.0,3.2303662,0.0,0.0,0.32986557,0.0,0.0,6.2412004,0.0,0.0,5.376462,0.10941605,6.4886804,0.6262645,6.713416,4.337838,0.0,5.306106,0.0,0.66357726,0.0,1.5032338,0.0,ALO,2023_Monaco,7.0
0.0,4.2341027,2.4738672,1.3773513,0.0,2.5700173,0.76268375,3.1606562,1.2058631,0.0,3.602288,0.66363716,0.70023537,0.77093613,0.68409485,0.0,5.383208,0.5368061,0.0,4.156905,0.0,5.7248917,0.29212105,6.011467,4.09834,0.0,4.76649,0.0,1.6796602,0.0,1.7822396,0.0,ALO,2023_Monaco,8.0
0.0,4.0263877,1.7986963,2.1668687,0.0,3.2816882,0.22563171,4.1976295,1.1958228,0.0,4.7269306,1.1616272,0.5065504,0.7765711,1.0070335,0.0,5.8686757,1.0261468,0.0,4.1847677,0.0,6.650035,0.0,7.2167387,5.013008,0.0,4.873611,0.0,2.375435,0.0,2.630438,0.0,ALO,2023_Monaco,9.0
0.0,4.1699796,2.111636,1.5175145,0.0,2.648388,0.4001012,3.2450428,0.7201443,0.0,3.8885694,0.6100309,0.17149271,0.42942154,0.65995055,0.0,5.5171933,0.51978725,0.0,4.4016743,0.0,6.124611,0.0,6.552591,4.641469,0.0,4.509138,0.0,1.573747,0.0,2.1719177,0.0,ALO,2023_Monaco,10.0
0.0,4.5181813,2.2873993,1.6316881,0.0,2.7040765,0.65615195,3.1659694,0.7882322,0.0,3.781444,0.6034303,0.22955126,0.4660573,0.47288963,0.0,5.7649975,0.6025071,0.0,4.7061434,0.0,6.412396,0.21685256,6.834021,4.635613,0.0,4.7791815,0.0,1.4310869,0.0,2.2348847,0.0,ALO,2023_Monaco,11.0
0.0,4.732491,2.3466883,1.4588827,0.0,3.1386516,0.0,3.1725123,1.2010623,0.0,3.9490938,0.0,0.0,0.8430616,0.20436487,0.0,6.3114634,0.04500354,0.0,4.6773257,0.0,6.547152,0.0,6.857822,4.25409,0.0,5.6273494,0.0,1.5664662,0.0,1.5249995,0.0,ALO,2023_Monaco,12.0
